Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
@mingipingi the attack is strong with this one,attack,2019-11-01 02:30:59,hellevating,Twitter for Android,1190093850162782208,https://twitter.com/statuses/1190093850162782208
"Ideally, the criminal should be charged since the home was damaged because he broke the law and evaded police. However, he is probably in prison now and indigent, so he should still be charged with the damage and the homeowner's insurance should be utilized until they bring suit.",damage,2019-11-01 02:30:59,AM_JKM,Twitter for Android,1190093850402066432,https://twitter.com/statuses/1190093850402066432
My phone is on its death bed. Only 1/10 chargers work for it. It's over 3 years old. Battery life is getting worse. Performance is surprisingly good when it chooses to work. RIP Galaxy s7. You've been good to me.,death,2019-11-01 02:30:59,valancealot,Twitter for Android,1190093851035414529,https://twitter.com/statuses/1190093851035414529
i be layin mfs out in red dead online,dead,2019-11-01 02:30:59,_REAUX1K,Twitter for iPhone,1190093851995840514,https://twitter.com/statuses/1190093851995840514
Granit Xhaka Blames Death Threats and Sick Taunts for Arsenal Fan Feud https://t.co/GHZxMLN5U7 https://t.co/46MnjLpt7g,death,2019-11-01 02:30:59,vishal210487,WordPress.com,1190093850829828096,https://twitter.com/statuses/1190093850829828096
"@ABCPolitics 6/65-CBS reported on 17-11-2018: “The death toll from the Camp Fire in northern California increased to 71 people while 1,011 people are unaccounted for, Butte County Sheriff said Friday. Sheriff Kory Honea cautioned the list is ""dynamic"" & will fluctuate” https://t.co/bHnUi3nqRI","death toll, toll, death, unaccounted",2019-11-01 02:30:59,dr_ghaus,Twitter Web App,1190093851849056256,https://twitter.com/statuses/1190093851849056256
to wonho: may you have the strength to heal and recover from this and take the rest you need to be your absolute best self,recover,2019-11-01 02:30:59,wonhimbo,Twitter for Android,1190093852268519424,https://twitter.com/statuses/1190093852268519424
@HYPERSONICXLC it was truly. an insane series of events.,events,2019-11-01 02:30:59,burroughsgunaim,Twitter for Android,1190093852302094336,https://twitter.com/statuses/1190093852302094336
"Lake Shore Road (Rt5) WEST is closed from Big Tree Road to Camp Road due to flood waters from Lake Erie. 

Lake Shore Road EAST is open","flood waters, flood",2019-11-01 02:30:59,HamburgESU,Facebook,1190093852385959937,https://twitter.com/statuses/1190093852385959937
this was a personal attack,attack,2019-11-01 02:30:59,urth0tmom,Twitter for iPhone,1190093852297719810,https://twitter.com/statuses/1190093852297719810
he ain dead but way he broke he wanna b dead,dead,2019-11-01 02:30:59,1randeep1,Twitter for iPhone,1190093852410953728,https://twitter.com/statuses/1190093852410953728
if im gonna be like this i should stream sometime,stream,2019-11-01 02:30:59,crabcakesthe5th,Twitter Web App,1190093852519981056,https://twitter.com/statuses/1190093852519981056
"@Panathegreek There is a Israeli military attaché in Athens , that is huge no matter what you think of it",military,2019-11-01 02:31:00,evil_soki,Twitter for iPhone,1190093853023444998,https://twitter.com/statuses/1190093853023444998
AINDA DÁ TEMPOOOOO!,,2019-11-01 02:31:00,melissadesa,Twitter for Android,1190093852968996864,https://twitter.com/statuses/1190093852968996864
just got spawn trapped vs 6 shotguns.. 1 shot. dead.,dead,2019-11-01 02:31:00,NeutruI,Twitter Web App,1190093853468041218,https://twitter.com/statuses/1190093853468041218
"India has to weigh carefully the gains to be had from signing the treaty, which may mean making itself vulnerable to having its markets inundated with Chinese goods.
The  #FaujiNews https://t.co/rVNPZbPctt",inundated,2019-11-01 02:31:00,faujireporter,Blog2Social APP,1190093853275099136,https://twitter.com/statuses/1190093853275099136
"Halloween mystery of baby found dead in fridge after she vanished from locked home
https://t.co/wM7JiUBdmz https://t.co/nGaNwRrEL7",dead,2019-11-01 02:31:00,DailyMirror,TweetDeck,1190093853560311810,https://twitter.com/statuses/1190093853560311810
"""If I Had the World to Give"" - Grateful Dead",dead,2019-11-01 02:31:00,WRUVplaystream,Spinitron Playlists,1190093855661666304,https://twitter.com/statuses/1190093855661666304
In these times of torrential storms i want to be in bed... with a man... the only man i want tonbe in bed with... Lol,"torrential, storm",2019-11-01 02:31:00,HeyyLindsayyy,Twitter for Android,1190093855913390080,https://twitter.com/statuses/1190093855913390080
"@tylerhower My only worry about that possibility is that he works at Oxford, so they'll probably hire an absurdly flattering biographer once he is dead, and other publishers won't bother. In that situation, he'll be almost entirely forgotten except as a glimmer in morons' eyes.",dead,2019-11-01 02:31:00,LitAnscombe,Twitter Web Client,1190093856311775233,https://twitter.com/statuses/1190093856311775233
@Titans #TitanUp My babies had a blast trick or treating. My Titans football player and my Eeyore https://t.co/08cbmqzMbn,blast,2019-11-01 02:31:00,Amyc23241,Twitter for Android,1190093854109814787,https://twitter.com/statuses/1190093854109814787
‘Game Of Thrones’ Creator George R.R. Martin Dishes On “Heartbreaking” Dead Prequel Pilot & New ‘House Of The Dragon’ Series https://t.co/a6Ugk5fVfi via @Deadline,dead,2019-11-01 02:31:01,GinaLawriw,Twitter Web Client,1190093857049972738,https://twitter.com/statuses/1190093857049972738
North Miami got so many dead zones it be no fucking service dawg,dead,2019-11-01 02:31:01,__realnaomi,Twitter for iPhone,1190093857607827456,https://twitter.com/statuses/1190093857607827456
"@rixgan I didn't take you for torture, is all. A cauterizing knife would also be helpful for emergency wounds.

[ He sighs then holds it back. ]

I won't force you to take it, then. You clearly aren't interested.",emergency,2019-11-01 02:31:01,eldblud,Twitter for Android,1190093857666547712,https://twitter.com/statuses/1190093857666547712
NYT absolutely happy to 50/50 it,,2019-11-01 02:31:01,manish_vij,Twitter Web Client,1190093857729339392,https://twitter.com/statuses/1190093857729339392
Matheus me convenceu de ver um filme de terror.,terror,2019-11-01 02:31:01,feerodrigues14,Twitter for Android,1190093859843432449,https://twitter.com/statuses/1190093859843432449
"@McCartneyWP “Airbnb and similar companies said the law would cost property owners tens of millions of dollars and burden less-affluent residents who rely on rental income.”

Ultimately it will create an underground market for short term rentals and the city will lose the revenue.",residents,2019-11-01 02:31:01,BeltwayGreg,Twitter for iPhone,1190093860678053888,https://twitter.com/statuses/1190093860678053888
Best news ever,,2019-11-01 02:31:01,JulioVas007,Twitter Web App,1190093860950728704,https://twitter.com/statuses/1190093860950728704
"#Jungkook: “the problems faced by young people can be resolved by the music, we're artists who want help and support this generation”

 https://t.co/rvxKphTPH6",want help,2019-11-01 02:31:02,ggvkmilk,Twitter for Android,1190093861177053184,https://twitter.com/statuses/1190093861177053184
i choose jk yg fully aware that either one of them or both of them will be badly injured cause i aint no coward,injured,2019-11-01 02:31:02,rpprjimin,Twitter for iPhone,1190093861655400448,https://twitter.com/statuses/1190093861655400448
I want jimin to stomp on my face with those Valentino always military boots,military,2019-11-01 02:31:02,sssita94,Twitter for Android,1190093862053851136,https://twitter.com/statuses/1190093862053851136
"@Pflax1 We had 500 kids come by our dead end street in #SleepyHollowNY.

Spent $125 on the candy.

#priorities",dead,2019-11-01 02:31:02,danielconvissor,Twitter Web App,1190093863039442946,https://twitter.com/statuses/1190093863039442946
if I make another typo I’m going to un-nut so hard that my hermit purple is going to recede back inside me,recede,2019-11-01 02:31:02,OHNOVERDRIVE,Twitter for iPhone,1190093863316119553,https://twitter.com/statuses/1190093863316119553
@LordKebun stream is KILLING me right now,stream,2019-11-01 02:31:02,strayfromtheass,Twitter for Android,1190093864478167041,https://twitter.com/statuses/1190093864478167041
"Watch ""Human Tornado: 1976 Theatrical Trailer (Vinegar Syndrome)"" on YouTube - https://t.co/BDD7jYC94J",tornado,2019-11-01 02:31:02,SHYBABYTONGUES,TweetCaster for Android,1190093864578629632,https://twitter.com/statuses/1190093864578629632
Ah. But we DID NOT get the full transcript. There were parts redacted and if you read the whole thing you can see it’s been edited. They can’t blame it  in Rosemary Woods this time. I trust those listening in more than the edited  transcript.,,2019-11-01 02:31:02,HankSilverberg,Twitter for iPhone,1190093864520110080,https://twitter.com/statuses/1190093864520110080
Omg she had a blast today with us https://t.co/dOTUxofxr4,blast,2019-11-01 02:31:02,ANGELBABYPA,Twitter for iPhone,1190093862649417729,https://twitter.com/statuses/1190093862649417729
YO?!!,,2019-11-01 02:31:02,qtviruss,Twitter for iPhone,1190093864834609152,https://twitter.com/statuses/1190093864834609152
